================ Training Loss (Sun Jun 21 14:58:58 2026) ================
[Rank 0] (epoch: 1, iters: 200, time: 0.004, data: 0.451) , G_GAN: 0.953, G_L1: 3.273, D_real: 0.676, D_fake: 0.662

[Rank 0] (epoch: 1, iters: 400, time: 0.015, data: 0.004) , G_GAN: 1.193, G_L1: 3.126, D_real: 0.454, D_fake: 0.608

[Rank 0] (epoch: 1, iters: 600, time: 0.004, data: 0.002) , G_GAN: 0.891, G_L1: 2.075, D_real: 0.475, D_fake: 0.653

[Rank 0] (epoch: 1, iters: 800, time: 0.004, data: 0.002) , G_GAN: 0.829, G_L1: 2.600, D_real: 0.701, D_fake: 0.626

[Rank 0] (epoch: 1, iters: 1000, time: 0.004, data: 0.002) , G_GAN: 1.208, G_L1: 2.858, D_real: 0.340, D_fake: 0.487

[Rank 0] (epoch: 2, iters: 200, time: 0.012, data: 0.452) , G_GAN: 1.075, G_L1: 2.164, D_real: 0.572, D_fake: 0.553

[Rank 0] (epoch: 2, iters: 400, time: 0.003, data: 0.001) , G_GAN: 1.503, G_L1: 3.506, D_real: 0.398, D_fake: 0.485

[Rank 0] (epoch: 2, iters: 600, time: 0.004, data: 0.003) , G_GAN: 1.159, G_L1: 3.023, D_real: 0.480, D_fake: 0.573

[Rank 0] (epoch: 2, iters: 800, time: 0.004, data: 0.002) , G_GAN: 0.957, G_L1: 2.348, D_real: 0.476, D_fake: 0.692

[Rank 0] (epoch: 2, iters: 1000, time: 0.015, data: 0.003) , G_GAN: 0.849, G_L1: 3.204, D_real: 0.475, D_fake: 0.579

[Rank 0] (epoch: 3, iters: 200, time: 0.003, data: 0.427) , G_GAN: 0.832, G_L1: 2.280, D_real: 0.648, D_fake: 0.629

[Rank 0] (epoch: 3, iters: 400, time: 0.011, data: 0.002) , G_GAN: 1.066, G_L1: 3.542, D_real: 0.505, D_fake: 0.920

[Rank 0] (epoch: 3, iters: 600, time: 0.004, data: 0.003) , G_GAN: 0.869, G_L1: 2.965, D_real: 0.618, D_fake: 0.599

[Rank 0] (epoch: 3, iters: 800, time: 0.003, data: 0.002) , G_GAN: 0.950, G_L1: 3.728, D_real: 0.416, D_fake: 0.733

[Rank 0] (epoch: 3, iters: 1000, time: 0.004, data: 0.003) , G_GAN: 0.946, G_L1: 2.938, D_real: 0.436, D_fake: 0.831

[Rank 0] (epoch: 4, iters: 200, time: 0.015, data: 0.483) , G_GAN: 0.825, G_L1: 2.215, D_real: 1.501, D_fake: 0.512

[Rank 0] (epoch: 4, iters: 400, time: 0.003, data: 0.001) , G_GAN: 1.122, G_L1: 3.200, D_real: 0.413, D_fake: 0.477

[Rank 0] (epoch: 4, iters: 600, time: 0.003, data: 0.002) , G_GAN: 0.715, G_L1: 3.248, D_real: 0.484, D_fake: 0.941

[Rank 0] (epoch: 4, iters: 800, time: 0.003, data: 0.002) , G_GAN: 0.981, G_L1: 2.376, D_real: 0.584, D_fake: 0.582

[Rank 0] (epoch: 4, iters: 1000, time: 0.013, data: 0.002) , G_GAN: 1.078, G_L1: 4.386, D_real: 0.404, D_fake: 0.586

[Rank 0] (epoch: 5, iters: 200, time: 0.003, data: 0.433) , G_GAN: 0.884, G_L1: 2.779, D_real: 0.769, D_fake: 0.604

[Rank 0] (epoch: 5, iters: 400, time: 0.014, data: 0.001) , G_GAN: 0.658, G_L1: 2.331, D_real: 0.868, D_fake: 0.744

[Rank 0] (epoch: 5, iters: 600, time: 0.004, data: 0.001) , G_GAN: 0.691, G_L1: 3.325, D_real: 0.601, D_fake: 0.845

[Rank 0] (epoch: 5, iters: 800, time: 0.003, data: 0.003) , G_GAN: 1.188, G_L1: 3.488, D_real: 0.631, D_fake: 0.564

[Rank 0] (epoch: 5, iters: 1000, time: 0.004, data: 0.002) , G_GAN: 1.045, G_L1: 3.811, D_real: 0.296, D_fake: 0.656

[Rank 0] (epoch: 6, iters: 200, time: 0.016, data: 0.429) , G_GAN: 0.907, G_L1: 2.339, D_real: 0.711, D_fake: 0.481

[Rank 0] (epoch: 6, iters: 400, time: 0.004, data: 0.003) , G_GAN: 0.775, G_L1: 2.695, D_real: 0.477, D_fake: 0.948

[Rank 0] (epoch: 6, iters: 600, time: 0.004, data: 0.003) , G_GAN: 1.077, G_L1: 3.794, D_real: 0.608, D_fake: 0.467

[Rank 0] (epoch: 6, iters: 800, time: 0.004, data: 0.003) , G_GAN: 1.080, G_L1: 3.736, D_real: 0.342, D_fake: 0.523

[Rank 0] (epoch: 6, iters: 1000, time: 0.016, data: 0.004) , G_GAN: 0.801, G_L1: 2.769, D_real: 0.624, D_fake: 0.660

[Rank 0] (epoch: 7, iters: 200, time: 0.004, data: 0.457) , G_GAN: 0.853, G_L1: 2.528, D_real: 1.122, D_fake: 0.598

[Rank 0] (epoch: 7, iters: 400, time: 0.016, data: 0.002) , G_GAN: 1.091, G_L1: 4.111, D_real: 0.353, D_fake: 0.624

[Rank 0] (epoch: 7, iters: 600, time: 0.003, data: 0.001) , G_GAN: 1.032, G_L1: 3.303, D_real: 0.611, D_fake: 0.553

[Rank 0] (epoch: 7, iters: 800, time: 0.003, data: 0.004) , G_GAN: 0.895, G_L1: 2.696, D_real: 0.473, D_fake: 0.682

[Rank 0] (epoch: 7, iters: 1000, time: 0.004, data: 0.003) , G_GAN: 0.949, G_L1: 2.118, D_real: 1.222, D_fake: 0.491

[Rank 0] (epoch: 8, iters: 200, time: 0.016, data: 0.454) , G_GAN: 1.016, G_L1: 3.089, D_real: 0.887, D_fake: 0.512

[Rank 0] (epoch: 8, iters: 400, time: 0.003, data: 0.001) , G_GAN: 0.919, G_L1: 3.021, D_real: 0.638, D_fake: 0.628

[Rank 0] (epoch: 8, iters: 600, time: 0.003, data: 0.004) , G_GAN: 1.009, G_L1: 2.468, D_real: 0.752, D_fake: 0.568

[Rank 0] (epoch: 8, iters: 800, time: 0.003, data: 0.002) , G_GAN: 0.719, G_L1: 2.423, D_real: 0.611, D_fake: 0.783

[Rank 0] (epoch: 8, iters: 1000, time: 0.014, data: 0.004) , G_GAN: 1.014, G_L1: 2.468, D_real: 1.126, D_fake: 0.343

[Rank 0] (epoch: 9, iters: 200, time: 0.003, data: 0.438) , G_GAN: 1.303, G_L1: 3.212, D_real: 0.371, D_fake: 0.471

[Rank 0] (epoch: 9, iters: 400, time: 0.017, data: 0.001) , G_GAN: 1.092, G_L1: 3.461, D_real: 0.330, D_fake: 0.591

[Rank 0] (epoch: 9, iters: 600, time: 0.003, data: 0.001) , G_GAN: 0.683, G_L1: 2.897, D_real: 0.645, D_fake: 0.750

[Rank 0] (epoch: 9, iters: 800, time: 0.004, data: 0.003) , G_GAN: 1.481, G_L1: 3.030, D_real: 0.196, D_fake: 0.613

[Rank 0] (epoch: 9, iters: 1000, time: 0.004, data: 0.003) , G_GAN: 0.908, G_L1: 2.962, D_real: 0.457, D_fake: 0.613

[Rank 0] (epoch: 10, iters: 200, time: 0.015, data: 0.426) , G_GAN: 0.894, G_L1: 3.645, D_real: 0.713, D_fake: 0.508

[Rank 0] (epoch: 10, iters: 400, time: 0.004, data: 0.003) , G_GAN: 0.994, G_L1: 3.611, D_real: 0.278, D_fake: 0.898

[Rank 0] (epoch: 10, iters: 600, time: 0.003, data: 0.002) , G_GAN: 0.768, G_L1: 3.385, D_real: 0.868, D_fake: 0.634

[Rank 0] (epoch: 10, iters: 800, time: 0.004, data: 0.002) , G_GAN: 0.899, G_L1: 2.935, D_real: 0.859, D_fake: 0.555

[Rank 0] (epoch: 10, iters: 1000, time: 0.011, data: 0.003) , G_GAN: 1.053, G_L1: 3.590, D_real: 0.578, D_fake: 0.547

[Rank 0] (epoch: 11, iters: 200, time: 0.003, data: 0.494) , G_GAN: 1.470, G_L1: 3.304, D_real: 0.255, D_fake: 0.509

[Rank 0] (epoch: 11, iters: 400, time: 0.015, data: 0.001) , G_GAN: 0.982, G_L1: 3.222, D_real: 0.419, D_fake: 0.575

[Rank 0] (epoch: 11, iters: 600, time: 0.003, data: 0.002) , G_GAN: 0.811, G_L1: 2.676, D_real: 0.536, D_fake: 0.881

[Rank 0] (epoch: 11, iters: 800, time: 0.003, data: 0.002) , G_GAN: 0.728, G_L1: 2.535, D_real: 0.669, D_fake: 0.622

[Rank 0] (epoch: 11, iters: 1000, time: 0.004, data: 0.002) , G_GAN: 1.163, G_L1: 2.900, D_real: 0.394, D_fake: 0.601

[Rank 0] (epoch: 12, iters: 200, time: 0.018, data: 0.450) , G_GAN: 1.035, G_L1: 3.500, D_real: 0.324, D_fake: 0.685

[Rank 0] (epoch: 12, iters: 400, time: 0.004, data: 0.001) , G_GAN: 1.061, G_L1: 2.978, D_real: 0.495, D_fake: 0.413

[Rank 0] (epoch: 12, iters: 600, time: 0.004, data: 0.002) , G_GAN: 1.210, G_L1: 2.852, D_real: 0.783, D_fake: 0.369

[Rank 0] (epoch: 12, iters: 800, time: 0.003, data: 0.002) , G_GAN: 0.910, G_L1: 2.778, D_real: 0.818, D_fake: 0.507

[Rank 0] (epoch: 12, iters: 1000, time: 0.013, data: 0.004) , G_GAN: 0.762, G_L1: 2.539, D_real: 0.875, D_fake: 0.623

[Rank 0] (epoch: 13, iters: 200, time: 0.003, data: 0.456) , G_GAN: 0.780, G_L1: 2.940, D_real: 0.668, D_fake: 0.670

[Rank 0] (epoch: 13, iters: 400, time: 0.016, data: 0.001) , G_GAN: 0.894, G_L1: 3.527, D_real: 0.768, D_fake: 0.581

[Rank 0] (epoch: 13, iters: 600, time: 0.004, data: 0.002) , G_GAN: 0.572, G_L1: 2.274, D_real: 0.960, D_fake: 0.706

[Rank 0] (epoch: 13, iters: 800, time: 0.003, data: 0.003) , G_GAN: 0.983, G_L1: 3.543, D_real: 0.639, D_fake: 0.547

[Rank 0] (epoch: 13, iters: 1000, time: 0.004, data: 0.002) , G_GAN: 0.778, G_L1: 3.028, D_real: 0.571, D_fake: 0.686

[Rank 0] (epoch: 14, iters: 200, time: 0.016, data: 0.481) , G_GAN: 1.044, G_L1: 2.786, D_real: 0.530, D_fake: 0.453

[Rank 0] (epoch: 14, iters: 400, time: 0.004, data: 0.001) , G_GAN: 1.003, G_L1: 2.293, D_real: 1.371, D_fake: 0.485

[Rank 0] (epoch: 14, iters: 600, time: 0.004, data: 0.003) , G_GAN: 0.883, G_L1: 2.437, D_real: 0.323, D_fake: 0.712

[Rank 0] (epoch: 14, iters: 800, time: 0.003, data: 0.003) , G_GAN: 0.865, G_L1: 2.330, D_real: 0.624, D_fake: 0.707

[Rank 0] (epoch: 14, iters: 1000, time: 0.017, data: 0.003) , G_GAN: 0.848, G_L1: 2.862, D_real: 0.794, D_fake: 0.465

[Rank 0] (epoch: 15, iters: 200, time: 0.003, data: 0.434) , G_GAN: 0.923, G_L1: 2.945, D_real: 0.697, D_fake: 0.514

[Rank 0] (epoch: 15, iters: 400, time: 0.016, data: 0.003) , G_GAN: 0.782, G_L1: 2.473, D_real: 0.632, D_fake: 0.724

[Rank 0] (epoch: 15, iters: 600, time: 0.004, data: 0.001) , G_GAN: 0.852, G_L1: 2.475, D_real: 1.013, D_fake: 0.503

[Rank 0] (epoch: 15, iters: 800, time: 0.003, data: 0.003) , G_GAN: 1.340, G_L1: 4.069, D_real: 0.279, D_fake: 0.628

[Rank 0] (epoch: 15, iters: 1000, time: 0.004, data: 0.007) , G_GAN: 0.868, G_L1: 2.309, D_real: 0.730, D_fake: 0.499

[Rank 0] (epoch: 16, iters: 200, time: 0.018, data: 0.452) , G_GAN: 0.565, G_L1: 2.348, D_real: 0.829, D_fake: 0.862

[Rank 0] (epoch: 16, iters: 400, time: 0.003, data: 0.001) , G_GAN: 1.069, G_L1: 3.013, D_real: 0.526, D_fake: 0.479

[Rank 0] (epoch: 16, iters: 600, time: 0.004, data: 0.003) , G_GAN: 1.029, G_L1: 2.682, D_real: 1.307, D_fake: 0.340

