================ Training Loss (Sat Jun 20 21:34:55 2026) ================
[Rank 0] (epoch: 1, iters: 200, time: 0.003, data: 0.160) , G_GAN: 0.503, G_L1: 20.303, D_real: 0.803, D_fake: 0.796

[Rank 0] (epoch: 1, iters: 400, time: 0.017, data: 0.004) , G_GAN: 0.350, G_L1: 16.056, D_real: 0.365, D_fake: 0.302

[Rank 0] (epoch: 1, iters: 600, time: 0.004, data: 0.003) , G_GAN: 0.316, G_L1: 16.337, D_real: 0.302, D_fake: 0.283

[Rank 0] (epoch: 1, iters: 800, time: 0.004, data: 0.004) , G_GAN: 0.329, G_L1: 16.359, D_real: 0.283, D_fake: 0.262

[Rank 0] (epoch: 1, iters: 1000, time: 0.004, data: 0.004) , G_GAN: 0.302, G_L1: 19.191, D_real: 0.304, D_fake: 0.217

[Rank 0] (epoch: 2, iters: 200, time: 0.014, data: 0.174) , G_GAN: 0.481, G_L1: 16.463, D_real: 0.337, D_fake: 0.338

[Rank 0] (epoch: 2, iters: 400, time: 0.004, data: 0.004) , G_GAN: 0.412, G_L1: 19.976, D_real: 0.283, D_fake: 0.360

[Rank 0] (epoch: 2, iters: 600, time: 0.004, data: 0.004) , G_GAN: 0.332, G_L1: 16.392, D_real: 0.309, D_fake: 0.240

[Rank 0] (epoch: 2, iters: 800, time: 0.004, data: 0.004) , G_GAN: 0.360, G_L1: 14.960, D_real: 0.255, D_fake: 0.247

[Rank 0] (epoch: 2, iters: 1000, time: 0.015, data: 0.004) , G_GAN: 0.409, G_L1: 24.603, D_real: 0.264, D_fake: 0.219

[Rank 0] (epoch: 3, iters: 200, time: 0.004, data: 0.190) , G_GAN: 0.989, G_L1: 11.193, D_real: 0.292, D_fake: 0.393

[Rank 0] (epoch: 3, iters: 400, time: 0.014, data: 0.005) , G_GAN: 0.402, G_L1: 15.248, D_real: 0.199, D_fake: 0.192

[Rank 0] (epoch: 3, iters: 600, time: 0.004, data: 0.004) , G_GAN: 0.471, G_L1: 10.863, D_real: 0.215, D_fake: 0.164

[Rank 0] (epoch: 3, iters: 800, time: 0.003, data: 0.004) , G_GAN: 0.411, G_L1: 13.564, D_real: 0.370, D_fake: 0.369

